,accuracy,n_estimators,max_features,max_depth,criterion,n_jobs
115,0.6915029888983775,132,0.8,6.0,entropy,-1
116,0.7017506404782238,749,0.8,25.0,entropy,-1
117,0.7137062339880444,305,0.65,78.0,entropy,-1
118,0.701537147736977,110,0.5,16.0,gini,-1
119,0.6912894961571306,225,0.95,63.0,gini,-1
120,0.7028181041844578,369,0.55,17.0,entropy,-1
121,0.7019641332194705,904,0.85,38.0,entropy,-1
122,0.700469684030743,108,0.75,13.0,gini,-1
123,0.7077284372331341,960,0.9,61.0,entropy,-1
124,0.7040990606319385,739,0.55,17.0,entropy,-1
125,0.6528608027327071,980,0.9,2.0,gini,-1
126,0.7049530315969257,203,0.6,26.0,gini,-1
127,0.6987617421007686,642,0.65,65.0,gini,-1
128,0.6994022203245089,964,0.8,70.0,entropy,-1
129,0.7043125533731853,982,0.85,79.0,gini,-1
130,0.6968403074295474,534,0.8,73.0,gini,-1
131,0.7032450896669513,341,0.85,61.0,gini,-1
132,0.7030315969257045,570,0.95,15.0,gini,-1
133,0.696199829205807,691,0.7,14.0,entropy,-1
134,0.7081554227156277,605,0.7,36.0,gini,-1
135,0.6855251921434671,85,0.9,45.0,gini,-1
136,0.7128522630230573,778,0.75,93.0,gini,-1
137,0.7013236549957301,825,0.9,59.0,entropy,-1
138,0.697267292912041,115,0.95,30.0,entropy,-1
139,0.7064474807856533,634,0.5,84.0,gini,-1
140,0.7011101622544833,490,0.75,49.0,gini,-1
141,0.7079419299743809,156,0.55,40.0,entropy,-1
142,0.7013236549957301,777,0.5,53.0,gini,-1
143,0.6996157130657558,74,0.75,90.0,gini,-1
144,0.7030315969257045,799,0.6,55.0,gini,-1
145,0.7011101622544833,405,0.75,23.0,entropy,-1
146,0.694064901793339,109,0.85,31.0,entropy,-1
147,0.6976942783945346,600,0.7,62.0,entropy,-1
148,0.7073014517506405,240,0.65,84.0,entropy,-1
149,0.7011101622544833,162,0.6,31.0,entropy,-1
150,0.6983347566182749,845,0.6,48.0,gini,-1
151,0.6991887275832621,183,0.9,74.0,gini,-1
152,0.7000426985482494,760,0.85,30.0,entropy,-1
153,0.6949188727583262,184,0.7,8.0,gini,-1
154,0.7122117847993168,532,0.9,97.0,gini,-1
155,0.7032450896669513,250,0.8,90.0,gini,-1
156,0.6966268146883006,467,0.55,78.0,gini,-1
157,0.7051665243381725,949,0.7,57.0,entropy,-1
158,0.6759180187873612,725,0.85,4.0,entropy,-1
159,0.7043125533731853,913,0.7,99.0,entropy,-1
160,0.703672075149445,124,0.8,62.0,entropy,-1
161,0.7066609735269,335,0.8,47.0,gini,-1
162,0.6891545687446626,622,0.65,6.0,gini,-1
163,0.7030315969257045,487,0.5,24.0,gini,-1
164,0.7143467122117848,957,0.55,99.0,gini,-1
165,0.7021776259607173,853,0.75,36.0,entropy,-1
166,0.6934244235695987,580,0.9,87.0,gini,-1
167,0.7008966695132366,818,0.75,24.0,gini,-1
168,0.6902220324508966,385,0.75,57.0,gini,-1
169,0.6904355251921435,166,0.95,50.0,gini,-1
170,0.7034585824081981,598,0.7,47.0,gini,-1
171,0.6983347566182749,775,0.55,31.0,entropy,-1
172,0.701537147736977,292,0.7,9.0,gini,-1
173,0.7062339880444065,847,0.6,59.0,entropy,-1
174,0.7094363791631084,803,0.9,38.0,gini,-1
175,0.7139197267292912,837,0.75,47.0,gini,-1
176,0.7051665243381725,885,0.85,37.0,entropy,-1
177,0.6927839453458582,913,0.9,67.0,gini,-1
178,0.7083689154568744,716,0.5,44.0,entropy,-1
179,0.7073014517506405,524,0.7,34.0,entropy,-1
