n_estimators,max_features,max_depth,criterion,n_jobs,accuracy
918,0.9,79.0,gini,-1,0.7107623318385651
468,0.6,56.0,gini,-1,0.7069186418962203
53,0.6,79.0,gini,-1,0.7043561819346573
770,0.5,77.0,entropy,-1,0.7094811018577835
287,0.8,97.0,gini,-1,0.7033952594490711
942,0.8,28.0,entropy,-1,0.7114029468289558
498,0.55,73.0,gini,-1,0.7075592568866111
119,0.6,70.0,entropy,-1,0.7059577194106342
559,0.75,18.0,entropy,-1,0.7120435618193466
754,0.65,52.0,gini,-1,0.7088404868673926
800,0.65,27.0,gini,-1,0.709160794362588
741,0.5,70.0,gini,-1,0.7085201793721974
981,0.75,65.0,entropy,-1,0.7117232543241512
874,0.8,53.0,entropy,-1,0.712363869314542
689,0.85,70.0,gini,-1,0.7117232543241512
922,0.6,91.0,gini,-1,0.7069186418962203
395,0.85,64.0,gini,-1,0.7053171044202434
722,0.95,89.0,entropy,-1,0.7126841768097374
495,0.85,96.0,gini,-1,0.709160794362588
328,0.5,7.0,entropy,-1,0.6931454196028187
506,0.75,75.0,gini,-1,0.7085201793721974
830,0.6,14.0,gini,-1,0.7030749519538757
752,0.6,93.0,gini,-1,0.7088404868673926
963,0.55,91.0,entropy,-1,0.7043561819346573
483,0.85,81.0,gini,-1,0.7114029468289558
285,0.75,70.0,gini,-1,0.7098014093529789
642,0.85,37.0,entropy,-1,0.7088404868673926
906,0.6,66.0,gini,-1,0.708199871877002
75,0.7,90.0,entropy,-1,0.6979500320307496
194,0.55,73.0,gini,-1,0.7078795643818065
985,0.6,60.0,entropy,-1,0.709160794362588
63,0.6,67.0,entropy,-1,0.6995515695067265
778,0.65,3.0,entropy,-1,0.6620755925688662
867,0.6,51.0,gini,-1,0.7056374119154388
62,0.7,96.0,gini,-1,0.7043561819346573
491,0.75,78.0,entropy,-1,0.7062780269058296
437,0.95,85.0,gini,-1,0.7085201793721974
345,0.65,41.0,entropy,-1,0.704996796925048
257,0.8,32.0,gini,-1,0.7094811018577835
704,0.9,51.0,gini,-1,0.7104420243433697
745,0.65,88.0,entropy,-1,0.708199871877002
999,0.7,2.0,gini,-1,0.6547085201793722
403,0.55,19.0,entropy,-1,0.7062780269058296
434,0.55,76.0,entropy,-1,0.7069186418962203
243,0.8,53.0,entropy,-1,0.7088404868673926
640,0.75,53.0,entropy,-1,0.7098014093529789
236,0.65,41.0,gini,-1,0.7021140294682896
129,0.6,6.0,gini,-1,0.6889814221652787
283,0.55,11.0,gini,-1,0.6992312620115311
615,0.9,23.0,entropy,-1,0.7130044843049327
507,0.55,84.0,entropy,-1,0.7136450992953235
94,0.6,80.0,gini,-1,0.7069186418962203
431,0.85,58.0,gini,-1,0.7046764894298526
914,0.7,67.0,gini,-1,0.7088404868673926
351,0.6,94.0,gini,-1,0.7056374119154388
747,0.7,15.0,gini,-1,0.7094811018577835
308,0.9,48.0,entropy,-1,0.708199871877002
563,0.7,4.0,entropy,-1,0.6729660474055092
628,0.6,83.0,entropy,-1,0.7133247918001281
854,0.55,1.0,entropy,-1,0.6460602178090967
430,0.8,64.0,entropy,-1,0.7117232543241512
251,0.65,15.0,gini,-1,0.7117232543241512
317,0.75,46.0,entropy,-1,0.7085201793721974
554,0.9,49.0,gini,-1,0.7043561819346573
602,0.7,40.0,entropy,-1,0.7078795643818065
876,0.75,25.0,gini,-1,0.7104420243433697
734,0.95,34.0,entropy,-1,0.7075592568866111
343,0.65,33.0,gini,-1,0.7101217168481743
412,0.85,45.0,entropy,-1,0.7094811018577835
105,0.8,51.0,entropy,-1,0.7104420243433697
923,0.5,42.0,entropy,-1,0.7085201793721974
218,0.7,15.0,gini,-1,0.7040358744394619
901,0.6,69.0,entropy,-1,0.7085201793721974
86,0.95,17.0,gini,-1,0.7040358744394619
308,0.8,91.0,entropy,-1,0.7075592568866111
228,0.7,10.0,entropy,-1,0.7024343369634849
959,0.6,31.0,entropy,-1,0.7088404868673926
416,0.9,90.0,gini,-1,0.7088404868673926
536,0.8,52.0,entropy,-1,0.7114029468289558
985,0.6,75.0,entropy,-1,0.7078795643818065
115,0.75,95.0,entropy,-1,0.7062780269058296
601,0.75,78.0,gini,-1,0.7072389493914157
474,0.75,47.0,entropy,-1,0.7075592568866111
463,0.85,28.0,gini,-1,0.7085201793721974
631,0.65,15.0,entropy,-1,0.7085201793721974
669,0.65,20.0,gini,-1,0.7085201793721974
710,0.85,19.0,gini,-1,0.7065983344010249
672,0.85,17.0,gini,-1,0.7104420243433697
849,0.65,61.0,gini,-1,0.7098014093529789
537,0.8,57.0,gini,-1,0.7072389493914157
382,0.5,69.0,entropy,-1,0.7075592568866111
83,0.5,67.0,entropy,-1,0.7017937219730942
595,0.7,51.0,entropy,-1,0.7101217168481743
119,0.9,19.0,gini,-1,0.704996796925048
995,0.6,71.0,entropy,-1,0.7065983344010249
695,0.5,99.0,entropy,-1,0.7114029468289558
150,0.65,,gini,-1,0.7056374119154388
159,0.9,23.0,gini,-1,0.704996796925048
67,0.95,28.0,entropy,-1,0.7001921844971173
653,0.55,45.0,entropy,-1,0.7046764894298526
537,0.6,32.0,entropy,-1,0.7094811018577835
567,0.65,1.0,entropy,-1,0.6460602178090967
817,0.9,27.0,entropy,-1,0.7104420243433697
244,0.9,37.0,entropy,-1,0.7075592568866111
216,0.65,65.0,entropy,-1,0.7107623318385651
419,0.9,81.0,gini,-1,0.709160794362588
529,0.85,57.0,entropy,-1,0.7110826393337604
869,0.5,33.0,gini,-1,0.7043561819346573
767,0.75,82.0,entropy,-1,0.7088404868673926
339,0.65,25.0,gini,-1,0.7046764894298526
507,0.85,39.0,gini,-1,0.709160794362588
482,0.95,13.0,gini,-1,0.704996796925048
198,0.85,42.0,gini,-1,0.7043561819346573
579,0.5,88.0,entropy,-1,0.7078795643818065
104,0.65,3.0,gini,-1,0.6630365150544523
385,0.65,55.0,entropy,-1,0.708199871877002
264,0.75,15.0,gini,-1,0.7136450992953235
645,0.55,9.0,gini,-1,0.6995515695067265
82,0.55,96.0,entropy,-1,0.6995515695067265
713,0.75,94.0,gini,-1,0.708199871877002
775,0.8,59.0,entropy,-1,0.7110826393337604
555,0.6,4.0,entropy,-1,0.6736066623959001
748,0.55,2.0,entropy,-1,0.6547085201793722
